City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
147,anar darah,32.7587,61.654,28.26,17,0,16.37,AF,1724867031
148,atafu village,-8.5421,-172.5159,28.14,73,13,8.33,TK,1724867032
149,manta,-0.95,-80.7333,26.88,74,75,3.09,EC,1724867027
150,woolgoolga,-30.1106,153.2007,12.93,49,1,2.05,AU,1724867035
151,harper,4.375,-7.7169,23.65,88,100,3.23,LR,1724867036
152,dudinka,69.4058,86.1778,10.75,88,41,2.7,RU,1724867037
153,plesetsk,62.708,40.2916,14.66,55,98,2.29,RU,1724867038
154,puerto armuelles,8.2833,-82.8667,28.38,73,12,0.45,PA,1724867039
155,hamilton,39.1834,-84.5333,35.35,50,0,2.06,US,1724866379
156,katsuura,35.1333,140.3,26.1,86,100,2.93,JP,1724867041
157,kulhudhuffushi,6.6221,73.07,28.28,77,100,3.65,MV,1724867042
158,santa luzia,-19.7697,-43.8514,28.19,32,0,3.6,BR,1724867043
159,tromso,69.6496,18.957,10.01,93,75,1.03,NO,1724867044
160,tokar,18.4254,37.729,36.12,37,76,5.35,SD,1724867045
161,ust-nera,64.5667,143.2,2.41,87,100,2.48,RU,1724867046
162,saint-jean-de-maurienne,45.1667,6.5833,14.52,75,88,1.28,FR,1724867048
163,swift current,50.2834,-107.8014,10.45,87,100,7.2,CA,1724867049
164,queenstown,-31.8976,26.8753,4.96,45,4,4.7,ZA,1724867050
165,muli,2.9167,73.5667,28.34,76,62,2.93,MV,1724867051
166,kyren,51.6828,102.1408,12.49,95,94,0.51,RU,1724867052
167,nogliki,51.8333,143.1667,14.48,96,19,2.88,RU,1724867053
168,smithers,54.7804,-127.1743,12.18,62,0,1.03,CA,1724867054
169,belmonte,-15.8631,-38.8828,24.28,71,68,7.21,BR,1724867055
170,santa terezinha,-29.9002,-50.0904,14.96,77,18,6.41,BR,1724867056
171,opuwo,-18.0607,13.84,23.52,14,0,2.15,NA,1724866806
172,wanning,18.8003,110.3967,27.14,87,18,2.23,CN,1724867058
173,salalah,17.0151,54.0924,26.05,94,100,1.03,OM,1724867059
174,vilyuysk,63.7553,121.6247,4.24,64,8,2.46,RU,1724867060
175,margaret river,-33.95,115.0667,16.77,93,100,12.34,AU,1724867062
176,lindi,-10.0,39.7167,22.52,97,63,1.33,TZ,1724867063
177,puerto baquerizo moreno,-0.9,-89.6,21.55,83,75,5.14,EC,1724866805
178,la sierpe,21.7717,-79.2684,33.82,49,92,2.8,CU,1724867065
179,bonny,4.4522,7.1681,26.08,78,75,4.09,NG,1724867066
180,richards bay,-28.783,32.0377,17.67,72,100,4.69,ZA,1724867067
181,mahibadhoo,3.7833,72.9667,28.45,74,100,2.13,MV,1724867068
182,port elizabeth,-33.918,25.5701,11.16,66,0,11.83,ZA,1724867069
183,utrik,11.2278,169.8474,28.32,75,70,4.57,MH,1724867070
184,shache,38.4167,77.2406,25.86,40,89,3.78,CN,1724867071
185,san patricio,28.017,-97.5169,29.97,42,33,6.76,US,1724867072
186,avarua,-21.2078,-159.775,24.03,78,75,6.69,CK,1724867073
187,ulladulla,-35.35,150.4667,12.68,46,75,3.18,AU,1724867074
188,doraha,30.8167,76.0167,25.25,92,91,2.85,IN,1724867075
189,talnakh,69.4865,88.3972,11.61,91,59,2.72,RU,1724867077
190,oamaru,-45.0784,170.9801,6.67,83,15,3.49,NZ,1724867078
191,tura,25.5198,90.2201,24.62,89,26,1.39,IN,1724867079
192,colonia,50.9333,6.95,29.97,48,0,1.54,DE,1724866962
193,chui,-33.6971,-53.4616,14.51,62,28,4.65,UY,1724867081
194,beroroha,-21.6667,45.1667,21.0,62,0,1.29,MG,1724867082
195,jirja,26.3383,31.8916,38.12,22,0,7.72,EG,1724867083
196,grajewo,53.6473,22.4554,25.03,60,0,3.67,PL,1724867084
197,vernon,50.2581,-119.2691,18.85,44,22,2.06,CA,1724867085
198,zaozersk,69.4005,32.4476,12.98,61,100,3.16,RU,1724867086
199,mulayjah,27.271,48.4242,38.41,14,0,3.52,SA,1724867090
200,isabela,6.7085,121.9711,25.87,86,96,1.9,PH,1724867091
201,susuman,62.7833,148.1667,2.56,80,100,1.48,RU,1724867092
202,campbell river,50.0163,-125.2446,15.25,67,20,4.12,CA,1724867093
203,andalgala,-27.5819,-66.3165,22.57,20,0,5.07,AR,1724866955
204,fort st. john,56.2499,-120.8529,12.94,71,20,5.14,CA,1724867095
205,bolama,11.5833,-15.4667,25.47,84,100,4.81,GW,1724867096
206,kailua-kona,19.6406,-155.9956,25.33,87,20,3.6,US,1724867098
207,oradea,47.0667,21.9333,29.02,37,0,2.24,RO,1724867099
